# mesh name: boxMesh_1
# primitive scorer name: boxMesh_1
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,11,22,0,0,0
0,11,23,0,0,0
0,11,24,0,0,0
0,11,25,0,0,0
0,11,26,0.01742585629924468,0.0003036604677619255,1
0,11,27,0.008666683007161148,5.211975138403378e-05,2
0,11,28,0,0,0
0,11,29,0,0,0
0,12,0,0,0,0
0,12,1,0,0,0
0,12,2,0,0,0
0,12,3,0,0,0
0,12,4,0,0,0
0,12,5,0,0,0
0,12,6,0,0,0
0,12,7,0,0,0
0,12,8,0,0,0
0,12,9,0,0,0
0,12,10,0,0,0
0,12,11,0,0,0
0,12,12,0,0,0
0,12,13,0,0,0
0,12,14,0,0,0
0,12,15,0,0,0
0,12,16,0,0,0
0,12,17,0,0,0
0,12,18,0.02420402285987878,0.0005858347226015344,1
0,12,19,0,0,0
0,12,20,0,0,0
0,12,21,0,0,0
0,12,22,0.010397563498286,0.0001081093267008894,1
0,12,23,0,0,0
0,12,24,0,0,0
0,12,25,0,0,0
0,12,26,0,0,0
0,12,27,0.04138963906786648,0.0008968463135621384,2
0,12,28,0.01168454463659733,0.0001365285833646353,1
0,12,29,0,0,0
0,13,0,0,0,0
0,13,1,0,0,0
0,13,2,0,0,0
0,13,3,0,0,0
0,13,4,0,0,0
0,13,5,0,0,0
0,13,6,0,0,0
0,13,7,0,0,0
0,13,8,0,0,0
0,13,9,0,0,0
0,13,10,0,0,0
0,13,11,0,0,0
0,13,12,0,0,0
0,13,13,0,0,0
0,13,14,0,0,0
0,13,15,0,0,0
0,13,16,0,0,0
0,13,17,0,0,0
0,13,18,0,0,0
0,13,19,0,0,0
0,13,20,0,0,0
0,13,21,0,0,0
0,13,22,0.006408348951229457,4.106693628072367e-05,1
0,13,23,0.01964871378683989,0.000386071953477152,1
0,13,24,0,0,0
0,13,25,0,0,0
0,13,26,0,0,0
0,13,27,0,0,0
0,13,28,0.01626017774079018,0.0002643933801620885,1
0,13,29,0,0,0
0,14,0,0,0,0
0,14,1,0,0,0
0,14,2,0,0,0
0,14,3,0,0,0
0,14,4,0,0,0
0,14,5,0.0238432081183478,0.0005684985733748464,1
0,14,6,0,0,0
0,14,7,0,0,0
0,14,8,0,0,0
0,14,9,0,0,0
0,14,10,0,0,0
0,14,11,0,0,0
0,14,12,0,0,0
0,14,13,0,0,0
0,14,14,0,0,0
0,14,15,0,0,0
0,14,16,0,0,0
0,14,17,0,0,0
0,14,18,0,0,0
0,14,19,0,0,0
0,14,20,0,0,0
0,14,21,0,0,0
0,14,22,0,0,0
0,14,23,0.01463763331771202,0.0002142603091437929,1
0,14,24,0,0,0
0,14,25,0,0,0
0,14,26,0,0,0
0,14,27,0.0263203276443743,0.0006927596473072143,1
0,14,28,0,0,0
0,14,29,0,0,0
0,15,0,0,0,0
0,15,1,0,0,0
0,15,2,0,0,0
0,15,3,0,0,0
0,15,4,0.008829300438874709,7.795654623991315e-05,1
0,15,5,0.0172212241760787,0.0002965705621227575,1
0,15,6,0,0,0
0,15,7,0,0,0
0,15,8,0,0,0
0,15,9,0,0,0
0,15,10,0,0,0
0,15,11,0,0,0
0,15,12,0,0,0
0,15,13,0,0,0
0,15,14,0,0,0
0,15,15,0,0,0
0,15,16,0,0,0
0,15,17,0,0,0
0,15,18,0,0,0
0,15,19,0,0,0
0,15,20,0,0,0
0,15,21,0,0,0
0,15,22,0,0,0
0,15,23,0,0,0
0,15,24,0,0,0
0,15,25,0,0,0
0,15,26,0,0,0
0,15,27,0.02673981404186414,0.000715017654993475,1
0,15,28,0,0,0
0,15,29,0,0,0
0,16,0,0,0,0
0,16,1,0,0,0
0,16,2,0,0,0
0,16,3,0,0,0
0,16,4,0.005527381464008108,3.055194584866041e-05,1
0,16,5,0,0,0
0,16,6,0,0,0
0,16,7,0,0,0
0,16,8,0,0,0
0,16,9,0,0,0
0,16,10,0,0,0
0,16,11,0,0,0
0,16,12,0,0,0
0,16,13,0,0,0
0,16,14,0,0,0
0,16,15,0,0,0
0,16,16,0,0,0
0,16,17,0,0,0
0,16,18,0,0,0
0,16,19,0,0,0
0,16,20,0,0,0
0,16,21,0,0,0
0,16,22,0,0,0
0,16,23,0,0,0
0,16,24,0,0,0
0,16,25,0,0,0
0,16,26,0,0,0
0,16,27,0.0009818917490511335,9.641114068546942e-07,1
0,16,28,0.001091046672229648,1.190382840983389e-06,1
0,16,29,0,0,0
0,17,0,0,0,0
0,17,1,0,0,0
0,17,2,0,0,0
0,17,3,0,0,0
0,17,4,0,0,0
0,17,5,0,0,0
0,17,6,0,0,0
0,17,7,0,0,0
0,17,8,0,0,0
0,17,9,0,0,0
0,17,10,0,0,0
0,17,11,0,0,0
0,17,12,0,0,0
0,17,13,0,0,0
